Id,gender,age,status,income,visitNo,method,timeSpend,location,membershipCard,itemPurchaseCoffee,itempurchaseCold,itemPurchasePastries,itemPurchaseJuices,itemPurchaseSandwiches,itemPurchaseOthers,spendPurchase,productRate,priceRate,promoRate,ambianceRate,wifiRate,serviceRate,chooseRate,promoMethodApp,promoMethodSoc,promoMethodEmail,promoMethodDeal,promoMethodFriend,promoMethodDisplay,promoMethodBillboard,promoMethodOthers,loyal,0,1,2,3,4,5,6,7
28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
72.96428571428571,0.6428571428571429,1.5357142857142858,1.5357142857142858,0.75,2.5714285714285716,1.5714285714285714,0.39285714285714285,1.5,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.6785714285714284,2.9642857142857144,4.178571428571429,3.857142857142857,3.5,4.071428571428571,3.8214285714285716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17857142857142858,0.06243260065447968,-0.012302291365222548,-0.05686123658949566,0.07107472639380054,0.5152057555547358,-0.036127410630483726,-0.16995254198174736,-0.08443242998967196
31.577631725587423,0.48795003647426666,0.9222413461394477,0.961562881252794,1.1097213530798988,0.7417981870189158,1.0690449676496978,0.6852566815265063,0.8388704928078611,0.5039526306789697,0.0,0.0,0.0,0.0,0.0,0.0,0.6382847385042254,0.9048663264720755,0.9993384054849732,0.8629652337776966,0.8908708063747479,0.9229582069908973,0.8132500607904444,0.9833266074561477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3900210277874797,0.7823790181819594,0.6121056875263383,0.7698088224565679,0.8593746237911877,0.6894013853640147,0.4540164817929847,0.5787995594913089,0.384235936047662
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0318959609604172,-0.913925196768444,-1.9573290452630965,-0.9316212349831604,0.1166390805885165,-0.8249297634626049,-1.4525305972251092,-0.6165770737171926
49.75,0.0,1.0,0.75,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.4549706022738627,-0.4973100689803306,-0.3751725161504193,-0.34609452670943824,0.1255128776503937,-0.2976674959595976,-0.34180347566567837,-0.3246563010842912
73.5,1.0,2.0,2.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,4.0,3.0,4.0,4.0,3.5,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01890516144621155,-0.12860907773576535,0.0622045342615787,-0.0525350975915753,0.2550718155767507,0.08617117219836874,-0.3331898803440939,-0.0090921996163444
98.5,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,4.25,4.0,5.0,4.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.39985945203487994,0.5909002460372299,0.06861211007273102,0.1202549813751677,0.40735846198505155,0.2252207452312325,0.0417329768613606,0.030446919044428568
121.0,1.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.116257627163036,1.0866440341554868,2.0012078804047344,2.989529888685898,3.1880663057113687,1.3483436303746374,1.9082599107285156,1.2666852151916548
